policy_0 Disc CE Loss,policy_0 Disc Acc,policy_0 Grad Pen,policy_0 Grad Pen W,agent_0 Disc Rew Mean,agent_0 Disc Rew Std,agent_0 Disc Rew Max,agent_0 Disc Rew Min,agent_1 Disc Rew Mean,agent_1 Disc Rew Std,agent_1 Disc Rew Max,agent_1 Disc Rew Min,policy_0 Reward Scale,policy_0 QF1 Loss,policy_0 QF2 Loss,policy_0 Alpha Loss,policy_0 Policy Loss,policy_0 Q1 Predictions Mean,policy_0 Q1 Predictions Std,policy_0 Q1 Predictions Max,policy_0 Q1 Predictions Min,policy_0 Q2 Predictions Mean,policy_0 Q2 Predictions Std,policy_0 Q2 Predictions Max,policy_0 Q2 Predictions Min,policy_0 Alpha Mean,policy_0 Alpha Std,policy_0 Alpha Max,policy_0 Alpha Min,policy_0 Log Pis Mean,policy_0 Log Pis Std,policy_0 Log Pis Max,policy_0 Log Pis Min,policy_0 Policy mu Mean,policy_0 Policy mu Std,policy_0 Policy mu Max,policy_0 Policy mu Min,policy_0 Policy log std Mean,policy_0 Policy log std Std,policy_0 Policy log std Max,policy_0 Policy log std Min,Test agent_0 Success Rate,Test agent_0 Collision Rate,Test agent_0 Distance Mean,Test agent_0 Distance Std,Test agent_0 Distance Max,Test agent_0 Distance Min,Test agent_0 Rewards Mean,Test agent_0 Rewards Std,Test agent_0 Rewards Max,Test agent_0 Rewards Min,Test agent_0 Returns Mean,Test agent_0 Returns Std,Test agent_0 Returns Max,Test agent_0 Returns Min,Test agent_0 Actions Mean,Test agent_0 Actions Std,Test agent_0 Actions Max,Test agent_0 Actions Min,Test agent_1 Success Rate,Test agent_1 Collision Rate,Test agent_1 Distance Mean,Test agent_1 Distance Std,Test agent_1 Distance Max,Test agent_1 Distance Min,Test agent_1 Rewards Mean,Test agent_1 Rewards Std,Test agent_1 Rewards Max,Test agent_1 Rewards Min,Test agent_1 Returns Mean,Test agent_1 Returns Std,Test agent_1 Returns Max,Test agent_1 Returns Min,Test agent_1 Actions Mean,Test agent_1 Actions Std,Test agent_1 Actions Max,Test agent_1 Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration agent_0 Success Rate,Exploration agent_0 Collision Rate,Exploration agent_0 Distance Mean,Exploration agent_0 Distance Std,Exploration agent_0 Distance Max,Exploration agent_0 Distance Min,Exploration agent_0 Rewards Mean,Exploration agent_0 Rewards Std,Exploration agent_0 Rewards Max,Exploration agent_0 Rewards Min,Exploration agent_0 Returns Mean,Exploration agent_0 Returns Std,Exploration agent_0 Returns Max,Exploration agent_0 Returns Min,Exploration agent_0 Actions Mean,Exploration agent_0 Actions Std,Exploration agent_0 Actions Max,Exploration agent_0 Actions Min,Exploration agent_1 Success Rate,Exploration agent_1 Collision Rate,Exploration agent_1 Distance Mean,Exploration agent_1 Distance Std,Exploration agent_1 Distance Max,Exploration agent_1 Distance Min,Exploration agent_1 Rewards Mean,Exploration agent_1 Rewards Std,Exploration agent_1 Rewards Max,Exploration agent_1 Rewards Min,Exploration agent_1 Returns Mean,Exploration agent_1 Returns Std,Exploration agent_1 Returns Max,Exploration agent_1 Returns Min,Exploration agent_1 Actions Mean,Exploration agent_1 Actions Std,Exploration agent_1 Actions Max,Exploration agent_1 Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AgentMeanAverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.7076027,0.37109375,0.96180034,4.0,0.34541696,0.43674812,3.0877001,0.00078750023,0.33995435,0.38956773,2.3452413,0.001668126,2.0,1.1140664,1.000187,-3.909649,-0.24175559,0.023722239,0.022423599,0.11115916,-0.009976407,0.103491515,0.05791869,0.3315466,0.028853334,0.19994000899934702,0.0,0.19994000899934702,0.19994000899934702,-0.4292013,0.31222278,0.48720407,-0.97680426,-0.021666337,0.035436872,0.024210304,-0.16884632,-0.0002999999,2.910383e-11,-0.00029999987,-0.00029999993,0.4,0.10909090909090909,250.07777690625966,98.42665906125866,312.5810544794177,1.7278093455921315,0.7755467215846356,0.6742707259665693,4.373902042656262,-3.792207922366921,282.53872109802444,111.38106952837741,369.9163894311853,-10.133431337147004,-0.0026361486,0.6318912,0.9998766,-0.9999982,0.38181818181818183,0.07272727272727272,239.5631306370724,109.53850437435962,312.9404914140438,1.6499957110718664,0.7722141651181119,0.6896187306392534,4.354395141787204,-4.704004722801645,269.7414280045303,123.81335500000272,362.48420091368484,-11.583206153973135,-0.014359327,0.6193263,0.99989635,-0.9999404,364.3090909090909,129.84940546330412,601.0,22.0,276.0,0.4782608695652174,0.06159420289855073,216.6959204841225,107.12987395711254,312.89026876601724,1.8055251263216245,0.8510540645199244,0.6557526284674117,4.531026608933587,-3.8635975532294964,244.89389059482752,119.927671478262,399.3949195336008,-2.1319920800137573,-0.019425761,0.6774196,0.99996734,-1.0,0.45652173913043476,0.06521739130434782,213.00615126606857,108.70048460255317,312.6793604505936,1.8108398927312908,0.8014682082815329,0.6537343568557354,4.339774056662591,-3.863178045408688,239.26729887523618,121.27787663403411,379.54705519801365,-5.12743549276764,-0.013923396,0.6699922,0.9999715,-1.0,287.7536231884058,154.03838273767263,786.0,18.0,138.07003727563867,91,100000,276,1919.8239243198186,0,3386.3309431690723,5306.154867488891,6078.499293843284,0
0.30817652,0.8828125,0.0053669205,4.0,0.30750138,0.34837198,2.0859368,0.0018977141,0.43801814,0.45990926,2.3575516,0.0010486684,2.0,2.082525,1.7498271,0.66520226,-25.178757,25.94516,12.816365,73.60054,-17.662603,25.589981,12.622811,73.293594,-16.874697,0.030843883086763498,0.0,0.030843883086763498,0.030843883086763498,2.1911976,2.106206,8.693147,-2.794012,-0.039314378,1.3780721,3.0690558,-3.7906804,-0.52354264,0.017328978,-0.50621367,-0.5408716,0.7959183673469388,0.04081632653061224,259.34124983476664,100.52645308288024,312.59883310584996,17.571173469701662,0.6970921981197407,0.5318797895179356,4.221165112542089,-3.569999999999993,285.6513111438015,110.26847750428149,368.69937271870754,22.714622753509424,-0.022046562,0.56166464,0.999868,-0.99995995,0.8163265306122449,0.0,262.3101946906825,101.62000745309868,312.6302873339182,15.404197344747214,0.6833354287049545,0.5369738928705118,4.396216667400445,-3.730013404801639,289.3437443830693,110.96148704488246,361.02073909542315,20.316712798525085,-0.02265651,0.56529564,0.9997735,-0.99997634,409.7755102040816,154.35438489056207,579.0,34.0,254.0,0.6496062992125984,0.07086614173228346,271.68172902026004,69.44216576195267,312.60973190437846,18.190957855159624,0.9138588722174704,0.6465070364076623,4.577156044634478,-3.8103177002861344,295.5865728578681,77.44525724686518,366.9619423730549,19.29747565415148,-0.02273834,0.6625201,0.9999989,-0.99999785,0.6614173228346457,0.11023622047244094,268.59246484569286,75.03942331088098,312.7896579495215,19.76449607022966,0.8903300708239517,0.6252779198994116,4.384101145631632,-3.769999999999982,293.6021144184449,83.7508282634458,364.3454729433517,20.941297790068404,-0.026325215,0.66037786,0.9999949,-0.9999984,323.4488188976378,146.45658348145943,642.0,12.0,143.74876388171765,191,200000,530,2106.675548577681,772.3564364649355,3156.2534360084683,6035.285421051085,12227.478138791397,1
0.38112825,0.8300781,0.004978583,4.0,0.3255186,0.30985487,1.7226443,0.0019856205,0.3415326,0.3247607,1.6534421,0.0059891827,2.0,4.416336,4.4739556,-0.7798517,-23.636967,23.671618,11.976667,61.03515,-25.51969,23.386677,11.75374,59.725548,-24.052553,0.031989283424198024,0.0,0.031989283424198024,0.031989283424198024,1.7734333,1.912597,7.02282,-3.4466462,-0.31114513,1.2713403,2.891467,-3.4386232,-0.5361208,0.0068786736,-0.52924216,-0.5429995,0.8852459016393442,0.08196721311475409,294.5276775115137,47.8532265438538,312.9792313741774,79.9348195217662,0.9468617609379563,0.5523347355352477,4.0143832324180835,-3.700013513488841,312.26259089817813,51.23175845968938,350.3839822195696,80.60556521685292,-0.017217355,0.5546093,0.99940443,-0.9999451,0.8524590163934426,0.13114754098360656,283.3689322981206,66.41765376423359,312.53631754477595,43.964670315306094,0.8724938360138019,0.5305105627388537,4.044314954874297,0.0,302.9126960508246,70.89749132455958,362.990795919076,44.49736486742213,-0.015422686,0.5527532,0.99959993,-0.9998577,329.78688524590166,99.3998573001084,454.0,115.0,208.0,0.8317307692307693,0.07211538461538461,292.1672850707471,49.876185968056554,312.7858102755307,14.6295086539545,0.8047621173770502,0.6116298600418016,4.225332814824242,-3.6900135501106206,313.17627321619204,54.751278333601824,365.66131404282737,16.821871189211716,-0.004818121,0.64767563,0.9999952,-0.9999967,0.8461538461538461,0.0673076923076923,291.419566965091,55.94895047404564,312.81596025151856,0.0,0.7963378321855654,0.6058559600062949,4.094566501871981,-3.700013513488841,313.19813797967487,60.78227612048263,371.03382010326953,0.7996078833116514,-0.0043947133,0.64844763,0.9999963,-0.9999896,389.15384615384613,153.58211717506805,708.0,13.0,153.79382173725068,291,300000,738,2273.052327901125,886.0522668939084,3788.775345845148,6947.879940640181,19132.158345911652,2
0.39070153,0.84375,0.007529714,4.0,0.46157235,0.4833987,3.380076,0.0055537294,0.40215844,0.3834605,1.9298493,0.003959844,2.0,3.3730035,3.6193552,-0.5693743,-23.635191,24.04245,11.7013,81.61995,-23.124216,24.205881,11.655642,76.501785,-23.232347,0.029130092331780336,0.0,0.029130092331780336,0.029130092331780336,1.8389661,2.2261703,9.52114,-4.9895144,-0.12607609,1.3254656,3.5072212,-3.8713763,-0.5452531,0.016015291,-0.5292378,-0.5612684,0.8596491228070176,0.0,300.52266560988136,20.61802158673544,312.68457397533115,236.24910390731822,0.8979464533864396,0.5404482517324385,3.994283836827349,-3.730013404801639,316.36071362993823,26.051092270910285,347.08102271156076,241.49327986968808,-0.0033760883,0.5439106,0.9997317,-0.9998373,0.8245614035087719,0.017543859649122806,293.0043534012809,42.47889334929401,312.7621735926895,47.255774806681416,0.9326304381640287,0.5533750341403386,4.069279556705101,-3.730013404801639,309.09336153257306,46.34569319489041,347.75239549635245,52.09990545057464,0.004758587,0.55280864,0.9998389,-0.99978983,352.3157894736842,104.0794497293086,472.0,95.0,204.0,0.8137254901960784,0.12254901960784313,279.9318784491667,71.52385207706439,312.6345320016251,10.8466992060307,0.7437095962404138,0.6069566359379313,4.163696090653275,-3.7705130451166156,296.8859543109526,75.50621310647574,358.90804866638916,10.90956275209841,0.0030307083,0.6355429,0.99998456,-0.9999996,0.803921568627451,0.12254901960784313,284.88090013444906,61.07563822321258,312.9827898294488,2.007126550864961,0.7623434086194681,0.5910680430256586,4.41939029136654,-3.8268765750499085,302.8596039615499,65.30249341212685,364.9980545548372,-1.6974331865903407,0.0013021516,0.6354798,0.99998057,-0.9999995,399.19607843137254,182.6676259035759,810.0,17.0,156.36351879062784,391,400000,942,2234.6510704383254,842.8562602642924,3668.3621675353497,6745.8694982379675,25790.778083009645,3
0.41537872,0.8183594,0.005462859,4.0,0.45880002,0.4161444,2.7131114,0.012377707,0.41067404,0.39315337,2.025466,0.007104616,2.0,3.9014301,4.623403,0.080820456,-24.418768,24.175873,11.929291,52.759476,-12.454374,23.518131,11.628965,52.94202,-13.399644,0.029064785367912255,0.0,0.029064785367912255,0.029064785367912255,2.0228417,2.1031053,13.952149,-2.1971474,0.14713457,1.352742,5.6853175,-3.7681952,-0.5486729,0.0100414455,-0.5386315,-0.5587144,0.821917808219178,0.1506849315068493,293.35825715238644,46.6942868774133,312.7905979853694,49.98269789712513,1.095142550466209,0.5261378811905475,4.435569041377306,-3.700013513488841,303.2944786681554,47.12463700909193,340.6535509411856,55.23551324844397,-0.0068192645,0.54541856,0.99979013,-0.99978644,0.8356164383561644,0.1506849315068493,293.0805089294454,46.039576168283084,312.8981436410418,48.24576853917932,1.0900774909964552,0.5381482423787536,4.343227464863304,-3.700013513488841,303.3999241378901,46.70088145955085,344.82445375869895,56.34317522818421,-0.0040742853,0.5502023,0.9999623,-0.9999031,276.94520547945206,96.94072336678526,484.0,35.0,241.0,0.8921161825726142,0.06639004149377593,297.0758741796148,45.78147987982077,312.7863142223574,15.09266309974952,0.8780860047535404,0.5398565667596514,4.09514188099298,-4.115609921664344,311.51649510548935,49.35615695014809,354.7477084053884,17.283485261804522,-0.0033018503,0.6264235,1.0,-1.0,0.9004149377593361,0.07053941908713693,294.27166918856614,52.21140748614754,312.8672408640394,27.017103072341104,0.8722567848930614,0.5291975169248324,4.1933950283187755,-3.887142433385293,308.5400265500568,55.70229184323988,347.41661566165817,27.751215934453793,-0.0025312346,0.6299364,0.9999975,-0.9999905,354.76763485477176,114.68826569704923,727.0,22.0,151.6736007015114,491,500000,1183,2706.4250668194145,755.6119046360254,3787.4504853580147,7249.487456813455,33006.83064915426,4
0.42862797,0.8046875,0.0062362147,4.0,0.41638982,0.38138643,1.9384139,0.008205303,0.43593046,0.3936695,1.8904697,0.017652879,2.0,4.153244,4.5459294,-0.6585815,-25.756676,25.92786,13.411463,71.255394,-12.749115,25.217615,13.244008,74.50381,-14.034806,0.028560703448909066,0.0,0.028560703448909066,0.028560703448909066,1.8147695,2.1028469,8.437414,-4.3222113,-0.1869452,1.2816398,3.6662889,-3.3071623,-0.54993063,0.009192497,-0.54073817,-0.55912316,0.9436619718309859,0.04225352112676056,299.44930110883183,46.66917352294707,312.82235229840046,28.654077904544316,1.092100277491519,0.49053159389233647,4.148233267889829,-3.569999999999993,308.34143890978856,47.72418125722198,339.318031447201,32.54047604054684,-0.016648777,0.5332579,0.9998877,-0.99991715,0.9295774647887324,0.07042253521126761,294.77256956846264,50.38097167767222,312.7246338384281,74.66949602510778,1.1098804236851825,0.4960061350988648,4.155978950981307,0.0,303.9196506660186,51.93807321178988,340.8537046896956,78.71519686573582,-0.016763346,0.5294954,0.9996807,-0.9998842,282.3380281690141,84.05848796480213,407.0,26.0,274.0,0.8832116788321168,0.072992700729927,293.3159535872985,51.09376994264905,312.8235438515058,31.15302875228465,1.0336953155555026,0.5716259775953411,4.436716890543465,-3.769999999999982,303.82719794986275,52.75646010013075,346.0609039178365,35.14360823764795,-0.013415923,0.63247347,0.9999875,-0.99998343,0.8284671532846716,0.12773722627737227,287.4026761887543,58.816114056537494,312.93511385836905,34.239527606144364,0.9989800068708595,0.5537305874134437,4.331034398590035,-3.769999999999982,298.41793270941554,60.90999472614048,349.31110543707393,36.61107203893832,-0.01834426,0.6305284,0.99998826,-0.9999384,293.92335766423355,118.24617693409377,617.0,26.0,153.06527239395177,591,600000,1457,2532.960783738643,722.1731172688305,3767.61411244981,7022.748013457283,40520.79255736247,5
0.43582636,0.8046875,0.006140402,4.0,0.44094414,0.40149748,2.041332,0.011818085,0.519767,0.42273554,2.1118357,0.007907103,2.0,3.5403447,3.7371905,0.31772906,-27.239374,27.694054,13.834187,80.415405,-3.4603286,28.258072,14.070385,84.11821,-3.1789846,0.02979915728743481,0.0,0.02979915728743481,0.02979915728743481,2.0904312,2.0886438,8.855578,-5.194852,0.03432278,1.3860837,3.6810155,-3.6206043,-0.55344224,0.00015130639,-0.5532909,-0.5535935,0.9264705882352942,0.058823529411764705,299.7339414604823,31.973627250803982,312.32609743259366,129.79311922144888,1.043872610025079,0.49975604277300845,4.088043011482554,-3.769999999999982,307.15951549987943,32.63209099337319,337.40021256339276,136.76361523708323,-0.017158562,0.51385367,0.9999866,-0.99979156,0.9117647058823529,0.08823529411764706,300.3337255769869,35.65864459899719,312.8897618068948,126.66387127628307,0.9560386858677582,0.4611038590797365,4.050191476848948,-3.6900135501106206,309.292574270659,37.32401948475804,348.0702823041776,130.3586394846733,-0.018488346,0.5085801,0.999612,-0.9987333,294.25,89.49422837124585,467.0,146.0,188.0,0.9042553191489362,0.06914893617021277,295.92176707883965,46.26008956225449,312.72823815225973,13.393951813396145,0.7191520650231563,0.5668918898076537,3.9745318900867037,-3.769999999999982,305.8653189743966,47.85551934957188,348.23596779766734,15.475950119950534,-0.004246024,0.62191594,0.99999857,-0.999997,0.9202127659574468,0.05851063829787234,294.1431567742175,53.11862285862247,312.750376075578,0.0,0.7052677904558153,0.5595825956265861,4.015243425524169,-3.769999999999982,304.72070256992004,55.43042361765904,348.6006651201159,0.7996078833116514,0.0002992428,0.62546265,0.9999987,-0.99999064,425.31382978723406,178.45779172050254,783.0,14.0,154.11302244263462,691,700000,1645,2519.490911955014,1213.3850569482893,5396.885967547074,9129.761936450377,49586.34063188359,6
0.44268137,0.8027344,0.0060537606,4.0,0.44307953,0.34814152,1.5882857,0.009996121,0.4852382,0.42713666,2.40039,0.0047167535,2.0,8.708164,9.468378,0.95901406,-26.793083,28.948902,15.043661,105.92023,-14.86989,28.576296,15.34311,110.00991,-15.275103,0.030427088799647013,0.0,0.030427088799647013,0.030427088799647013,2.2745714,2.2254589,9.481312,-2.9390206,0.07695012,1.4441751,4.700656,-4.336055,-0.5568579,0.009261847,-0.54759604,-0.56611973,0.8928571428571429,0.10714285714285714,296.4576272724302,46.51200730303121,312.8651098357497,52.17450669741386,0.8373885338667709,0.5692522251708442,4.138789727526316,-3.700013513488841,302.98511559300914,47.58175628403643,337.6503668851652,58.81320335804729,-0.019712258,0.51703644,0.9995706,-0.9999719,0.7321428571428571,0.26785714285714285,263.3467032794554,84.44432610499886,312.6752514476651,51.91042840495464,0.8534885625018103,0.5471806739144045,4.0112959058140945,-0.5780101692456014,269.97672135994765,86.24997831536902,339.90901421349236,53.09347068581768,-0.026437111,0.5159258,0.99986184,-0.9998951,361.82142857142856,148.80873475981284,576.0,50.0,184.0,0.875,0.11956521739130435,283.50427624736307,70.30341060720808,312.73694813371543,7.518139622022304,0.6770895098094619,0.5659478824896209,3.9610617908112786,-3.769999999999982,292.79705498108297,72.90669066838656,352.4424220403137,7.373891920024306,0.0041012415,0.62198067,0.9999764,-0.9999786,0.8804347826086957,0.11413043478260869,289.8217853600809,61.70613177214649,312.9186009518223,1.8165657216679274,0.7081750727774865,0.5533471046813091,3.930980795651106,-3.769999999999982,298.3225981850856,63.11399711509463,341.75737698320864,-1.7042123765108652,0.007462059,0.6244482,0.9999957,-0.99998736,432.4347826086956,199.23957636516425,911.0,77.0,143.2404592382392,791,800000,1829,2500.368792526424,1149.1762551628053,5902.639968959615,9552.185016648844,59176.54503658414,7
